"Sujeito";"Classe";"Predicado";"Objeto"
"/index.php/Clement";"CHARACTER";"bornIn";"In 251AC or 252AC"
"/index.php/Clement";"CHARACTER";"nameIs";"Clement"
"/index.php/Clement";"CHARACTER";"titlesIs";"Brother"
"/index.php/Clement_Crabb";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Clement_Crabb";"CHARACTER";"hasAllegianceWith";"/index.php/House_Crabb"
"/index.php/Clement_Crabb";"CHARACTER";"nameIs";"Clement Crabb"
"/index.php/Clement_Crabb";"CHARACTER";"titlesIs";"Ser"
"/index.php/Clement_Piper";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Clement_Piper";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Clement_Piper";"CHARACTER";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Clement_Piper";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Clement_Piper";"CHARACTER";"hasAllegianceWith";"/index.php/House_Piper"
"/index.php/Clement_Piper";"CHARACTER";"nameIs";"Clement Piper"
"/index.php/Clement_Piper";"CHARACTER";"titlesIs";"Lord of Pinkmaiden"
"/index.php/Cleon";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Cleon";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Cleon";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Cleon";"CHARACTER";"diedIn";"In 300AC, at Astapor"
"/index.php/Cleon";"CHARACTER";"hasAlias";"Cleon the Great"
"/index.php/Cleon";"CHARACTER";"hasAlias";"King Cleaver"
"/index.php/Cleon";"CHARACTER";"hasAlias";"The Butcher King"
"/index.php/Cleon";"CHARACTER";"hasCulture";"Astapori"
"/index.php/Cleon";"CHARACTER";"nameIs";"Cleon"
"/index.php/Cleon";"CHARACTER";"titlesIs";"King Cleon of Astapor"
"/index.php/Cleos_Frey";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Cleos_Frey";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Cleos_Frey";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Cleos_Frey";"CHARACTER";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Cleos_Frey";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Cleos_Frey";"CHARACTER";"bornIn";"In or between 258AC and 275AC, at Casterly Rock"
"/index.php/Cleos_Frey";"CHARACTER";"diedIn";"In 299AC, at Riverlands"
"/index.php/Cleos_Frey";"CHARACTER";"hasAllegianceWith";"/index.php/House_Frey"
"/index.php/Cleos_Frey";"CHARACTER";"hasAllegianceWith";"/index.php/House_Lannister"
"/index.php/Cleos_Frey";"CHARACTER";"hasAllegianceWith";"/index.php/Lannister"
"/index.php/Cleos_Frey";"CHARACTER";"nameIs";"Cleos Frey"
"/index.php/Cleos_Frey";"CHARACTER";"spouse";"/index.php/Jeyne_Darry"
"/index.php/Cleos_Frey";"CHARACTER";"titlesIs";"Ser"
"/index.php/Cletus_Yronwood";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Cletus_Yronwood";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Cletus_Yronwood";"CHARACTER";"diedIn";"In 300AC, at Disputed Lands"
"/index.php/Cletus_Yronwood";"CHARACTER";"hasAllegianceWith";"/index.php/House_Yronwood"
"/index.php/Cletus_Yronwood";"CHARACTER";"nameIs";"Cletus Yronwood"
"/index.php/Cletus_Yronwood";"CHARACTER";"titlesIs";"Ser"
"/index.php/Cley_Cerwyn";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Cley_Cerwyn";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Cley_Cerwyn";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Cley_Cerwyn";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Cley_Cerwyn";"CHARACTER";"bornIn";"In 284AC or 285AC, at Cerwyn"
"/index.php/Cley_Cerwyn";"CHARACTER";"diedIn";"In 299AC, at Winterfell"
"/index.php/Cley_Cerwyn";"CHARACTER";"hasAllegianceWith";"/index.php/House_Cerwyn"
"/index.php/Cley_Cerwyn";"CHARACTER";"hasCulture";"Northmen"
"/index.php/Cley_Cerwyn";"CHARACTER";"nameIs";"Cley Cerwyn"
"/index.php/Cley_Cerwyn";"CHARACTER";"titlesIs";"Lord of Cerwyn"
"/index.php/Cleyton_Caswell";"CHARACTER";"appearsIn";"/index.php/The_Sworn_Sword"
"/index.php/Cleyton_Caswell";"CHARACTER";"hasAllegianceWith";"/index.php/House_Caswell"
"/index.php/Cleyton_Caswell";"CHARACTER";"nameIs";"Cleyton Caswell"
"/index.php/Cleyton_Caswell";"CHARACTER";"titlesIs";"Ser"
"/index.php/Clifford_Conklyn";"CHARACTER";"appearsIn";"/index.php/The_Sworn_Sword"
"/index.php/Clifford_Conklyn";"CHARACTER";"hasAllegianceWith";"/index.php/House_Conklyn"
"/index.php/Clifford_Conklyn";"CHARACTER";"nameIs";"Clifford Conklyn"
"/index.php/Clifford_Conklyn";"CHARACTER";"titlesIs";"Ser"
"/index.php/Clubfoot_Karl";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Clubfoot_Karl";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Clubfoot_Karl";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Clubfoot_Karl";"CHARACTER";"diedIn";"In 300AC, at Beyond the Wall"
"/index.php/Clubfoot_Karl";"CHARACTER";"nameIs";"Clubfoot Karl"
"/index.php/Clubfoot_Karl";"CHARACTER";"playedBy";"Burn Gorman"
"/index.php/Clydas";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Clydas";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Clydas";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Clydas";"CHARACTER";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Clydas";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Clydas";"CHARACTER";"bornIn";"In 240AC or before"
"/index.php/Clydas";"CHARACTER";"nameIs";"Clydas"
"/index.php/Cohollo";"CHARACTER";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Cohollo";"CHARACTER";"diedIn";"In +/-298 AL, at Dothraki Sea"
"/index.php/Cohollo";"CHARACTER";"hasCulture";"Dothraki"
"/index.php/Cohollo";"CHARACTER";"nameIs";"Cohollo"
"/index.php/Cohollo";"CHARACTER";"titlesIs";"Bloodrider of Khal Drogo"
"/index.php/Cohollo";"CHARACTER";"titlesIs";"Ko"
"/index.php/Coldhands";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Coldhands";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Coldhands";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Coldhands";"CHARACTER";"nameIs";"Coldhands"
"/index.php/Colemon";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Colemon";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Colemon";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Colemon";"CHARACTER";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Colemon";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Colemon";"CHARACTER";"hasAllegianceWith";"/index.php/House_Arryn"
"/index.php/Colemon";"CHARACTER";"nameIs";"Colemon"
"/index.php/Colemon";"CHARACTER";"titlesIs";"Maester"
"/index.php/Colen_of_Greenpools";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Colen_of_Greenpools";"CHARACTER";"hasAllegianceWith";"/index.php/House_Baratheon"
"/index.php/Colen_of_Greenpools";"CHARACTER";"nameIs";"Colen of Greenpools"
"/index.php/Colen_of_Greenpools";"CHARACTER";"titlesIs";"Ser"
"/index.php/Colin_Florent";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Colin_Florent";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Colin_Florent";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Colin_Florent";"CHARACTER";"hasAllegianceWith";"/index.php/House_Florent"
"/index.php/Colin_Florent";"CHARACTER";"nameIs";"Colin Florent"
"/index.php/Colin_Florent";"CHARACTER";"titlesIs";"Ser"
"/index.php/Collio_Quaynis";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Collio_Quaynis";"CHARACTER";"hasCulture";"Tyroshi"
"/index.php/Collio_Quaynis";"CHARACTER";"nameIs";"Collio Quaynis"
"/index.php/Colmar_Frey";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Colmar_Frey";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Colmar_Frey";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Colmar_Frey";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Colmar_Frey";"CHARACTER";"bornIn";"In 288AC"
"/index.php/Colmar_Frey";"CHARACTER";"hasAllegianceWith";"/index.php/House_Frey"
"/index.php/Colmar_Frey";"CHARACTER";"nameIs";"Colmar Frey"
"/index.php/Company_of_the_Cat";"HOUSE";"currentLordIs";"/index.php/Bloodbeard"
"/index.php/Company_of_the_Cat";"HOUSE";"nameIs";"Company of the Cat"
"/index.php/Conflict_Beyond_the_Wall";"WAR";"dateIs";"296AC-Ongoing"
"/index.php/Conflict_Beyond_the_Wall";"WAR";"hasBattle";"/index.php/Battle_of_Castle_Black"
"/index.php/Conflict_Beyond_the_Wall";"WAR";"hasBattle";"/index.php/Battle_of_the_Bridge_of_Skulls"
"/index.php/Conflict_Beyond_the_Wall";"WAR";"hasBattle";"/index.php/Battle_of_the_Fist_of_the_First_Men"
"/index.php/Conflict_Beyond_the_Wall";"WAR";"nameIs";"Conflict Beyond the Wall"
"/index.php/Conn";"CHARACTER";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Conn";"CHARACTER";"diedIn";"In 298AC, at Green Fork of the river Trident, the Riverlands"
"/index.php/Conn";"CHARACTER";"nameIs";"Conn"
"/index.php/Conwy";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Conwy";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Conwy";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Conwy";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Conwy";"CHARACTER";"nameIs";"Conwy"
"/index.php/Coratt";"CHARACTER";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Coratt";"CHARACTER";"nameIs";"Coratt"
"/index.php/Corenna_Swann";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Corenna_Swann";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Corenna_Swann";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Corenna_Swann";"CHARACTER";"hasAllegianceWith";"/index.php/House_Frey"
"/index.php/Corenna_Swann";"CHARACTER";"hasAllegianceWith";"/index.php/House_Swann"
"/index.php/Corenna_Swann";"CHARACTER";"nameIs";"Corenna Swann"
"/index.php/Corenna_Swann";"CHARACTER";"spouse";"/index.php/Stevron_Frey"
"/index.php/Corliss_Penny";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Corliss_Penny";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Corliss_Penny";"CHARACTER";"hasAllegianceWith";"/index.php/House_Baratheon_of_Dragonstone"
"/index.php/Corliss_Penny";"CHARACTER";"nameIs";"Corliss Penny"
"/index.php/Corliss_Penny";"CHARACTER";"titlesIs";"Ser"
"/index.php/Corlys_Velaryon";"CHARACTER";"appearsIn";"/index.php/The_Princess_and_the_Queen"
"/index.php/Corlys_Velaryon";"CHARACTER";"appearsIn";"/index.php/The_Rogue_Prince"
"/index.php/Corlys_Velaryon";"CHARACTER";"hasAlias";"The Sea Snake"
"/index.php/Corlys_Velaryon";"CHARACTER";"hasAllegianceWith";"/index.php/House_Velaryon"
"/index.php/Corlys_Velaryon";"CHARACTER";"hasCulture";"Valyrian"
"/index.php/Corlys_Velaryon";"CHARACTER";"hasRace";"Valyrian"
"/index.php/Corlys_Velaryon";"CHARACTER";"nameIs";"Corlys Velaryon"
"/index.php/Corlys_Velaryon";"CHARACTER";"spouse";"/index.php/Rhaenys_Targaryen_(daughter_of_Aemon)"
"/index.php/Corlys_Velaryon";"CHARACTER";"titlesIs";"Hand of the Queen"
"/index.php/Corlys_Velaryon";"CHARACTER";"titlesIs";"Lord of the Tides"
"/index.php/Corlys_Velaryon";"CHARACTER";"titlesIs";"Master of Driftmark"
"/index.php/Cortnay_Penrose";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Cortnay_Penrose";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Cortnay_Penrose";"CHARACTER";"bornIn";"At Parchments"
"/index.php/Cortnay_Penrose";"CHARACTER";"diedIn";"In 299AC, at Storm's End"
"/index.php/Cortnay_Penrose";"CHARACTER";"hasAllegianceWith";"/index.php/House_Penrose"
"/index.php/Cortnay_Penrose";"CHARACTER";"nameIs";"Cortnay Penrose"
"/index.php/Cortnay_Penrose";"CHARACTER";"titlesIs";"Castellan of Storm's End"
"/index.php/Cortnay_Penrose";"CHARACTER";"titlesIs";"Ser"
"/index.php/Cosgrove";"CHARACTER";"appearsIn";"/index.php/The_Mystery_Knight"
"/index.php/Cosgrove";"CHARACTER";"hasAllegianceWith";"/index.php/House_Butterwell"
"/index.php/Cosgrove";"CHARACTER";"nameIs";"Cosgrove"
"/index.php/Cosgrove";"CHARACTER";"titlesIs";"Steward"
"/index.php/Cossomo";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Cossomo";"CHARACTER";"hasAlias";"Cossomo The Conjurer"
"/index.php/Cossomo";"CHARACTER";"hasCulture";"Braavosi"
"/index.php/Cossomo";"CHARACTER";"nameIs";"Cossomo"
"/index.php/Cotter_Pyke";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Cotter_Pyke";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Cotter_Pyke";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Cotter_Pyke";"CHARACTER";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Cotter_Pyke";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Cotter_Pyke";"CHARACTER";"hasCulture";"Ironborn"
"/index.php/Cotter_Pyke";"CHARACTER";"nameIs";"Cotter Pyke"
"/index.php/Cotter_Pyke";"CHARACTER";"titlesIs";"Commander of Eastwatch-by-the-Sea"
"/index.php/Courtenay_Greenhill";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Courtenay_Greenhill";"CHARACTER";"nameIs";"Courtenay Greenhill"
"/index.php/Courtenay_Greenhill";"CHARACTER";"titlesIs";"Ser"
"/index.php/Craghas_Drahar";"CHARACTER";"appearsIn";"/index.php/The_Rogue_Prince"
"/index.php/Craghas_Drahar";"CHARACTER";"diedIn";"In 108AC"
"/index.php/Craghas_Drahar";"CHARACTER";"hasAlias";"Craghas Crabfeeder"
"/index.php/Craghas_Drahar";"CHARACTER";"hasCulture";"Myrish"
"/index.php/Craghas_Drahar";"CHARACTER";"nameIs";"Craghas Drahar"
"/index.php/Cragorn";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Cragorn";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Cragorn";"CHARACTER";"diedIn";"In 300AC"
"/index.php/Cragorn";"CHARACTER";"hasAllegianceWith";"/index.php/House_Greyjoy"
"/index.php/Cragorn";"CHARACTER";"nameIs";"Cragorn"
"/index.php/Craster";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Craster";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Craster";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Craster";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Craster";"CHARACTER";"diedIn";"In 299AC, at Craster's Keep"
"/index.php/Craster";"CHARACTER";"hasCulture";"Free Folk"
"/index.php/Craster";"CHARACTER";"nameIs";"Craster"
"/index.php/Craster";"CHARACTER";"playedBy";"Robert Pugh"
"/index.php/Craster%27s_Keep";"CITY";"locationIs";"Westeros, Beyond the Wall"
"/index.php/Craster%27s_Keep";"CITY";"nameIs";"Craster's Keep"
"/index.php/Crawn";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Crawn";"CHARACTER";"hasCulture";"Mountain clans"
"/index.php/Crawn";"CHARACTER";"nameIs";"Crawn"
"/index.php/Cregan_Karstark";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Cregan_Karstark";"CHARACTER";"bornIn";"In 249AC (roughly), at Karhold"
"/index.php/Cregan_Karstark";"CHARACTER";"hasAllegianceWith";"/index.php/House_Karstark"
"/index.php/Cregan_Karstark";"CHARACTER";"hasCulture";"Northmen"
"/index.php/Cregan_Karstark";"CHARACTER";"nameIs";"Cregan Karstark"
"/index.php/Cregan_Stark";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Cregan_Stark";"CHARACTER";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Cregan_Stark";"CHARACTER";"appearsIn";"/index.php/The_Princess_and_the_Queen"
"/index.php/Cregan_Stark";"CHARACTER";"appearsIn";"/index.php/The_World_of_Ice_and_Fire"
"/index.php/Cregan_Stark";"CHARACTER";"hasAllegianceWith";"/index.php/House_Stark"
"/index.php/Cregan_Stark";"CHARACTER";"hasCulture";"Northmen"
"/index.php/Cregan_Stark";"CHARACTER";"nameIs";"Cregan Stark"
"/index.php/Cregan_Stark";"CHARACTER";"spouse";"/index.php/Alysanne_Blackwood"
"/index.php/Cregan_Stark";"CHARACTER";"titlesIs";"Lord of Winterfell"
"/index.php/Cregan_Stark";"CHARACTER";"titlesIs";"Warden of the North"
"/index.php/Creighton_Longbough";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Creighton_Longbough";"CHARACTER";"bornIn";"In or between 240AC and 249AC"
"/index.php/Creighton_Longbough";"CHARACTER";"nameIs";"Creighton Longbough"
"/index.php/Creighton_Longbough";"CHARACTER";"titlesIs";"Ser"
"/index.php/Creighton_Redfort";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Creighton_Redfort";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Creighton_Redfort";"CHARACTER";"hasAllegianceWith";"/index.php/House_Redfort"
"/index.php/Creighton_Redfort";"CHARACTER";"nameIs";"Creighton Redfort"
"/index.php/Creighton_Redfort";"CHARACTER";"titlesIs";"Ser"
"/index.php/Cressen";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Cressen";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Cressen";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Cressen";"CHARACTER";"appearsInSeason";"Season 2"
"/index.php/Cressen";"CHARACTER";"bornIn";"In 219AC or 220AC"
"/index.php/Cressen";"CHARACTER";"diedIn";"In 299AC, at Dragonstone"
"/index.php/Cressen";"CHARACTER";"nameIs";"Cressen"
"/index.php/Cressen";"CHARACTER";"playedBy";"Oliver Ford"
"/index.php/Cressen";"CHARACTER";"titlesIs";"Maester"
"/index.php/Criston_Cole";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Criston_Cole";"CHARACTER";"appearsIn";"/index.php/The_Princess_and_the_Queen"
"/index.php/Criston_Cole";"CHARACTER";"appearsIn";"/index.php/The_Rogue_Prince"
"/index.php/Criston_Cole";"CHARACTER";"bornIn";"In 81AC or 82AC, at Blackhaven"
"/index.php/Criston_Cole";"CHARACTER";"diedIn";"In 130AC, at a stony ridge south of Gods Eye"
"/index.php/Criston_Cole";"CHARACTER";"hasAlias";"Criston the Kingmaker"
"/index.php/Criston_Cole";"CHARACTER";"hasAllegianceWith";"/index.php/House_Cole"
"/index.php/Criston_Cole";"CHARACTER";"hasCulture";"Stormlands"
"/index.php/Criston_Cole";"CHARACTER";"nameIs";"Criston Cole"
"/index.php/Criston_Cole";"CHARACTER";"titlesIs";"Hand of the King"
"/index.php/Criston_Cole";"CHARACTER";"titlesIs";"Lord Commander of the Kingsguard"
"/index.php/Criston_Cole";"CHARACTER";"titlesIs";"Ser"
"/index.php/Cuger";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Cuger";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Cuger";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Cuger";"CHARACTER";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Cuger";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Cuger";"CHARACTER";"nameIs";"Cuger"
"/index.php/Cutjack";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Cutjack";"CHARACTER";"nameIs";"Cutjack"
"/index.php/Cynthea_Frey";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Cynthea_Frey";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Cynthea_Frey";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Cynthea_Frey";"CHARACTER";"bornIn";"In 290AC"
"/index.php/Cynthea_Frey";"CHARACTER";"hasAllegianceWith";"/index.php/House_Frey"
"/index.php/Cynthea_Frey";"CHARACTER";"nameIs";"Cynthea Frey"
"/index.php/Cyrenna_Swann";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Cyrenna_Swann";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Cyrenna_Swann";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Cyrenna_Swann";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Cyrenna_Swann";"CHARACTER";"bornIn";"In 236AC or before"
"/index.php/Cyrenna_Swann";"CHARACTER";"diedIn";"In or between 249AC and 257AC"
"/index.php/Cyrenna_Swann";"CHARACTER";"hasAllegianceWith";"/index.php/House_Frey"
"/index.php/Cyrenna_Swann";"CHARACTER";"hasAllegianceWith";"/index.php/House_Swann"
"/index.php/Cyrenna_Swann";"CHARACTER";"nameIs";"Cyrenna Swann"
"/index.php/Cyrenna_Swann";"CHARACTER";"spouse";"/index.php/Walder_Frey"
"/index.php/Daario_Naharis";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Daario_Naharis";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Daario_Naharis";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Daario_Naharis";"CHARACTER";"hasAllegianceWith";"/index.php/Stormcrows"
"/index.php/Daario_Naharis";"CHARACTER";"hasCulture";"Tyroshi"
"/index.php/Daario_Naharis";"CHARACTER";"nameIs";"Daario Naharis"
"/index.php/Daario_Naharis";"CHARACTER";"playedBy";"Ed Skrein ~ Season 3"
"/index.php/Daario_Naharis";"CHARACTER";"playedBy";"Michiel Huisman ~ Season 4"
"/index.php/Dacey_Mormont";"CHARACTER";"appearsIn";"/index.php/A_Clash_of_Kings"
"/index.php/Dacey_Mormont";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Dacey_Mormont";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Dacey_Mormont";"CHARACTER";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Dacey_Mormont";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Dacey_Mormont";"CHARACTER";"bornIn";"In in or between 252AC or 277AC"
"/index.php/Dacey_Mormont";"CHARACTER";"diedIn";"In 299AC, at the Twins"
"/index.php/Dacey_Mormont";"CHARACTER";"hasAllegianceWith";"/index.php/House_Mormont"
"/index.php/Dacey_Mormont";"CHARACTER";"hasCulture";"Northmen"
"/index.php/Dacey_Mormont";"CHARACTER";"nameIs";"Dacey Mormont"
"/index.php/Dacks";"CHARACTER";"appearsIn";"/index.php/A_Game_of_Thrones"
"/index.php/Dacks";"CHARACTER";"hasAllegianceWith";"/index.php/House_Redfort"
"/index.php/Dacks";"CHARACTER";"nameIs";"Dacks"
"/index.php/Daegon_Shepherd";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Daegon_Shepherd";"CHARACTER";"appearsIn";"/index.php/A_Feast_for_Crows"
"/index.php/Daegon_Shepherd";"CHARACTER";"hasAlias";"The Black Shepherd"
"/index.php/Daegon_Shepherd";"CHARACTER";"hasAllegianceWith";"/index.php/House_Shepherd"
"/index.php/Daegon_Shepherd";"CHARACTER";"hasCulture";"Ironborn"
"/index.php/Daegon_Shepherd";"CHARACTER";"nameIs";"Daegon Shepherd"
"/index.php/Daella_Targaryen_(daughter_of_Jaehaerys_I)";"CHARACTER";"appearsIn";"/index.php/The_Rogue_Prince"
"/index.php/Daella_Targaryen_(daughter_of_Jaehaerys_I)";"CHARACTER";"hasAllegianceWith";"/index.php/House_Targaryen"
"/index.php/Daella_Targaryen_(daughter_of_Jaehaerys_I)";"CHARACTER";"nameIs";"Daella Targaryen (daughter of Jaehaerys I)"
"/index.php/Daella_Targaryen_(daughter_of_Jaehaerys_I)";"CHARACTER";"titlesIs";"Princess"
"/index.php/Daella_Targaryen_(daughter_of_Maekar_I)";"CHARACTER";"appearsIn";"/index.php/The_Sworn_Sword"
"/index.php/Daella_Targaryen_(daughter_of_Maekar_I)";"CHARACTER";"hasAllegianceWith";"/index.php/House_Targaryen"
"/index.php/Daella_Targaryen_(daughter_of_Maekar_I)";"CHARACTER";"hasCulture";"Valyrian"
"/index.php/Daella_Targaryen_(daughter_of_Maekar_I)";"CHARACTER";"hasRace";"Valyrian"
"/index.php/Daella_Targaryen_(daughter_of_Maekar_I)";"CHARACTER";"nameIs";"Daella Targaryen (daughter of Maekar I)"
"/index.php/Daella_Targaryen_(daughter_of_Maekar_I)";"CHARACTER";"titlesIs";"Princess"
"/index.php/Daemon_Blackfyre";"CHARACTER";"appearsIn";"/index.php/A_Dance_with_Dragons"
"/index.php/Daemon_Blackfyre";"CHARACTER";"appearsIn";"/index.php/A_Storm_of_Swords"
"/index.php/Daemon_Blackfyre";"CHARACTER";"appearsIn";"/index.php/The_Mystery_Knight"
